Tiempo(s),Latitud,Longitud,Presión(Pa),Temperatura(°C),Humedad(%),Altitud_BMP280(m),Altitud_Relativa(m),Altitud_GPS(m),AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),MagX(μT),MagY(μT),MagZ(μT)
0.00,0.000000,0.000000,75189.55,35.19,0.00,43.03,43.03,0.00,0.07,0.14,0.90,-5.79,-7.54,-3.91,764.00,24320.00,29786.00
2.02,0.000000,0.000000,75189.86,35.18,0.00,42.99,42.99,0.00,-0.05,0.23,0.92,-5.09,-42.86,-76.38,764.00,24320.00,29786.00
4.00,0.000000,0.000000,75190.71,35.19,0.00,42.90,42.90,0.00,0.08,0.13,0.83,-32.69,28.56,-45.81,764.00,24320.00,29786.00
6.02,0.000000,0.000000,75192.69,35.20,0.00,42.69,42.69,0.00,-0.12,0.08,0.67,-10.13,13.15,-46.64,764.00,24320.00,29786.00
8.02,0.000000,0.000000,75193.94,35.21,0.00,42.56,42.56,0.00,0.10,-0.06,1.19,16.05,-16.85,-46.90,764.00,24320.00,29786.00
10.00,0.000000,0.000000,75194.52,35.22,0.00,42.50,42.50,0.00,0.13,0.23,0.91,-9.92,16.83,71.45,764.00,24320.00,29786.00
12.00,0.000000,0.000000,75194.92,35.22,0.00,42.46,42.46,0.00,0.07,0.20,0.90,-5.64,11.12,-16.82,764.00,24320.00,29786.00
15.99,0.000000,0.000000,75195.91,35.24,0.00,42.35,42.35,0.00,0.06,0.25,0.91,-5.33,-2.37,2.51,764.00,24320.00,29786.00
20.01,0.000000,0.000000,75197.98,35.25,0.00,42.13,42.13,0.00,0.14,0.06,1.16,-13.47,-0.81,-25.28,764.00,24320.00,29786.00
22.00,0.000000,0.000000,75198.87,35.26,0.00,42.04,42.04,0.00,0.07,-0.04,0.72,6.92,12.57,-12.68,764.00,24320.00,29786.00
24.00,0.000000,0.000000,75199.37,35.26,0.00,41.99,41.99,0.00,0.13,0.22,0.94,-3.75,-13.18,-2.57,764.00,24320.00,29786.00
26.01,0.000000,0.000000,75199.36,35.26,0.00,41.99,41.99,0.00,0.06,0.11,0.99,22.52,5.84,-45.93,764.00,24320.00,29786.00
28.00,0.000000,0.000000,75199.80,35.27,0.00,41.94,41.94,0.00,-0.07,0.10,0.94,4.39,-9.58,-5.26,764.00,24320.00,29786.00
30.00,0.000000,0.000000,75199.14,35.27,0.00,42.01,42.01,0.00,-0.00,0.13,0.94,2.61,-16.64,9.37,764.00,24320.00,29786.00
32.01,0.000000,0.000000,75198.84,35.27,0.00,42.04,42.04,0.00,-0.03,0.10,0.94,-5.47,-9.81,-2.38,764.00,24320.00,29786.00
34.01,0.000000,0.000000,75198.27,35.28,0.00,42.10,42.10,0.00,-0.04,0.09,0.92,0.40,-5.84,2.69,764.00,24320.00,29786.00
36.00,0.000000,0.000000,75197.66,35.28,0.00,42.17,42.17,0.00,0.02,0.11,0.96,-0.50,-2.98,0.29,764.00,24320.00,29786.00
38.00,0.000000,0.000000,75196.34,35.28,0.00,42.31,42.31,0.00,0.01,0.10,0.96,-0.44,-3.04,0.60,764.00,24320.00,29786.00
40.01,0.000000,0.000000,75196.70,35.29,0.00,42.27,42.27,0.00,0.00,0.10,0.91,-1.11,-2.94,0.37,764.00,24320.00,29786.00
42.00,0.000000,0.000000,75196.62,35.31,0.00,42.28,42.28,0.00,-0.00,0.11,0.96,-0.47,-3.14,0.36,764.00,24320.00,29786.00
44.01,0.000000,0.000000,75196.14,35.31,0.00,42.33,42.33,0.00,0.01,0.11,0.96,-0.47,-2.62,0.32,764.00,24320.00,29786.00
46.00,0.000000,0.000000,75196.15,35.31,0.00,42.33,42.33,0.00,0.01,0.11,0.96,-0.83,-3.14,0.29,764.00,24320.00,29786.00
48.01,0.000000,0.000000,75196.70,35.31,0.00,42.27,42.27,0.00,0.00,0.11,0.96,-0.60,-2.77,0.12,764.00,24320.00,29786.00
50.01,0.000000,0.000000,75196.30,35.31,0.00,42.31,42.31,0.00,0.00,0.10,0.94,-0.74,-3.78,0.61,764.00,24320.00,29786.00
52.01,0.000000,0.000000,75196.74,35.32,0.00,42.26,42.26,0.00,0.03,0.13,0.90,5.39,-0.68,-3.87,764.00,24320.00,29786.00
54.00,0.000000,0.000000,75197.14,35.31,0.00,42.22,42.22,0.00,0.04,0.12,0.98,-0.66,-3.01,0.38,764.00,24320.00,29786.00
56.01,0.000000,0.000000,75196.85,35.32,0.00,42.25,42.25,0.00,0.01,0.11,0.95,-1.44,-2.40,0.24,764.00,24320.00,29786.00
58.01,0.000000,0.000000,75196.89,35.31,0.00,42.25,42.25,0.00,-0.00,0.11,0.95,-0.56,-2.80,0.10,764.00,24320.00,29786.00
60.01,0.000000,0.000000,75196.95,35.31,0.00,42.24,42.24,0.00,0.06,0.08,0.96,-9.58,-12.57,-4.75,764.00,24320.00,29786.00
62.01,0.000000,0.000000,75196.89,35.31,0.00,42.25,42.25,0.00,-0.03,0.08,0.95,0.45,-3.08,0.56,764.00,24320.00,29786.00
64.01,0.000000,0.000000,75196.61,35.31,0.00,42.28,42.28,0.00,0.02,0.10,0.96,-0.52,-2.78,0.37,764.00,24320.00,29786.00
66.00,0.000000,0.000000,75196.09,35.31,0.00,42.33,42.33,0.00,-0.00,0.10,0.95,-0.41,-2.72,0.15,764.00,24320.00,29786.00
70.02,0.000000,0.000000,75199.21,35.31,0.00,42.00,42.00,0.00,0.45,0.95,0.18,18.03,-27.17,-117.57,764.00,24320.00,29786.00
72.01,0.000000,0.000000,75200.48,35.32,0.00,41.87,41.87,0.00,-0.07,0.14,0.96,6.68,-20.36,-17.33,764.00,24320.00,29786.00
74.00,0.000000,0.000000,75201.78,35.31,0.00,41.73,41.73,0.00,0.02,0.10,0.96,-0.63,-2.99,0.37,764.00,24320.00,29786.00
76.01,0.000000,0.000000,75202.20,35.32,0.00,41.68,41.68,0.00,0.01,0.11,0.96,-0.41,-2.57,0.25,764.00,24320.00,29786.00
78.00,0.000000,0.000000,75199.44,35.32,0.00,41.98,41.98,0.00,0.01,0.04,0.93,2.18,-11.25,-48.14,764.00,24320.00,29786.00
80.03,0.000000,0.000000,75196.99,35.32,0.00,42.24,42.24,0.00,-0.73,-0.35,0.53,-3.04,-1.74,-69.27,764.00,24320.00,29786.00
82.03,0.000000,0.000000,75195.48,35.32,0.00,42.40,42.40,0.00,-0.30,-0.64,0.65,18.08,-17.14,-9.75,764.00,24320.00,29786.00
84.01,0.000000,0.000000,75194.16,35.32,0.00,42.54,42.54,0.00,-0.18,0.05,0.78,74.35,-49.77,28.06,764.00,24320.00,29786.00
86.01,0.000000,0.000000,75193.22,35.32,0.00,42.64,42.64,0.00,0.03,0.00,0.98,41.73,-19.72,-57.60,764.00,24320.00,29786.00
88.01,0.000000,0.000000,75195.59,35.33,0.00,42.39,42.39,0.00,-0.07,0.21,1.00,50.44,21.45,0.20,764.00,24320.00,29786.00
90.00,0.000000,0.000000,75195.48,35.34,0.00,42.40,42.40,0.00,-0.77,-0.15,0.57,-8.47,16.34,10.70,764.00,24320.00,29786.00
96.00,0.000000,0.000000,75197.87,35.33,0.00,42.14,42.14,0.00,0.57,-0.39,0.71,3.57,-4.11,16.20,764.00,24320.00,29786.00
98.01,0.000000,0.000000,75197.20,35.34,0.00,42.21,42.21,0.00,0.15,-0.67,0.71,54.42,26.76,28.88,764.00,24320.00,29786.00
100.01,0.000000,0.000000,75198.35,35.34,0.00,42.09,42.09,0.00,0.77,0.33,0.64,30.25,1.76,-18.84,764.00,24320.00,29786.00
102.03,0.000000,0.000000,75198.55,35.35,0.00,42.07,42.07,0.00,0.58,-0.30,0.81,-32.82,-21.63,-0.24,764.00,24320.00,29786.00
104.01,0.000000,0.000000,75198.00,35.35,0.00,42.13,42.13,0.00,1.01,0.35,0.63,65.80,-79.14,-96.60,764.00,24320.00,29786.00
105.98,0.000000,0.000000,75198.98,35.36,0.00,42.03,42.03,0.00,0.55,0.82,0.04,5.71,4.55,81.35,764.00,24320.00,29786.00
108.02,0.000000,0.000000,75198.03,35.36,0.00,42.13,42.13,0.00,0.23,-0.90,0.20,-20.04,-20.53,53.12,764.00,24320.00,29786.00
110.01,0.000000,0.000000,75197.72,35.37,0.00,42.16,42.16,0.00,0.90,-0.30,0.24,-2.65,0.41,-18.25,764.00,24320.00,29786.00
112.00,0.000000,0.000000,75198.23,35.37,0.00,42.11,42.11,0.00,0.75,0.69,0.25,-2.23,-1.59,-12.13,764.00,24320.00,29786.00
114.01,0.000000,0.000000,75199.61,35.38,0.00,41.96,41.96,0.00,0.71,0.47,0.30,9.77,17.49,18.28,764.00,24320.00,29786.00
115.99,0.000000,0.000000,75198.69,35.38,0.00,42.06,42.06,0.00,0.82,0.49,0.28,-1.75,-3.98,-0.92,764.00,24320.00,29786.00
118.01,0.000000,0.000000,75199.52,35.39,0.00,41.97,41.97,0.00,0.79,0.55,0.21,-2.61,-0.17,1.14,764.00,24320.00,29786.00
120.01,0.000000,0.000000,75200.33,35.40,0.00,41.88,41.88,0.00,0.71,0.48,0.23,-14.25,-15.31,14.19,764.00,24320.00,29786.00
124.01,0.000000,0.000000,75200.78,35.41,0.00,41.83,41.83,0.00,0.76,0.93,0.32,33.13,-11.76,38.15,764.00,24320.00,29786.00
125.98,0.000000,0.000000,75200.20,35.42,0.00,41.90,41.90,0.00,0.68,0.67,0.20,6.46,0.56,-2.78,764.00,24320.00,29786.00
127.98,0.000000,0.000000,75200.16,35.43,0.00,41.90,41.90,0.00,0.66,0.76,0.24,1.92,2.16,-8.84,764.00,24320.00,29786.00
132.00,0.000000,0.000000,75198.58,35.45,0.00,42.07,42.07,0.00,0.72,0.68,0.21,-0.53,-2.94,-0.29,764.00,24320.00,29786.00
135.98,0.000000,0.000000,75196.90,35.47,0.00,42.25,42.25,0.00,0.60,0.66,0.03,6.34,-6.88,2.35,764.00,24320.00,29786.00
138.00,0.000000,0.000000,75196.62,35.48,0.00,42.28,42.28,0.00,0.68,0.68,0.25,-4.10,-5.00,1.91,764.00,24320.00,29786.00
140.00,0.000000,0.000000,75195.36,35.50,0.00,42.41,42.41,0.00,0.61,0.66,0.35,-12.43,-3.71,3.22,764.00,24320.00,29786.00
142.00,0.000000,0.000000,75194.92,35.51,0.00,42.46,42.46,0.00,0.66,0.64,0.27,-2.59,-1.72,0.51,764.00,24320.00,29786.00
143.98,0.000000,0.000000,75195.39,35.53,0.00,42.41,42.41,0.00,0.67,0.68,0.30,0.27,-2.56,0.18,764.00,24320.00,29786.00
146.00,0.000000,0.000000,75195.22,35.54,0.00,42.42,42.42,0.00,0.67,0.69,0.31,-2.66,-2.92,0.72,764.00,24320.00,29786.00
148.00,0.000000,0.000000,75195.07,35.55,0.00,42.44,42.44,0.00,0.66,0.68,0.28,-1.30,-3.52,0.11,764.00,24320.00,29786.00
151.98,0.000000,0.000000,75196.14,35.58,0.00,42.33,42.33,0.00,0.67,0.67,0.29,0.04,-2.43,0.19,764.00,24320.00,29786.00
156.00,0.000000,0.000000,75196.09,35.61,0.00,42.33,42.33,0.00,0.69,0.62,0.35,0.76,-2.42,-0.96,764.00,24320.00,29786.00
158.01,0.000000,0.000000,75195.62,35.62,0.00,42.38,42.38,0.00,0.69,0.65,0.32,-0.80,-5.10,0.22,764.00,24320.00,29786.00
160.00,0.000000,0.000000,75196.00,35.63,0.00,42.34,42.34,0.00,0.68,0.64,0.33,-0.87,-2.33,0.63,764.00,24320.00,29786.00
162.00,0.000000,0.000000,75195.56,35.65,0.00,42.39,42.39,0.00,0.72,0.66,0.33,6.00,-1.50,-25.74,764.00,24320.00,29786.00
164.00,0.000000,0.000000,75196.26,35.66,0.00,42.31,42.31,0.00,0.89,0.39,0.24,-1.21,22.17,57.53,764.00,24320.00,29786.00
166.00,0.000000,0.000000,75195.42,35.67,0.00,42.40,42.40,0.00,0.93,-0.04,0.34,0.68,-3.03,-0.67,764.00,24320.00,29786.00
170.00,0.000000,0.000000,75194.15,35.69,0.00,42.54,42.54,0.00,0.62,0.67,0.37,4.55,5.84,-30.47,764.00,24320.00,29786.00
172.02,0.000000,0.000000,75195.45,35.70,0.00,42.40,42.40,0.00,0.86,0.49,-0.40,-6.59,-60.34,-34.19,764.00,24320.00,29786.00
174.02,0.000000,0.000000,75195.38,35.71,0.00,42.41,42.41,0.00,0.64,0.69,-0.27,-83.06,105.29,-53.80,764.00,24320.00,29786.00
176.00,0.000000,0.000000,75196.38,35.72,0.00,42.30,42.30,0.00,-0.58,0.70,0.34,-3.46,1.21,21.58,764.00,24320.00,29786.00
178.00,0.000000,0.000000,75197.65,35.74,0.00,42.17,42.17,0.00,-0.88,0.02,0.49,-4.59,2.67,12.06,764.00,24320.00,29786.00
180.00,0.000000,0.000000,75197.44,35.75,0.00,42.19,42.19,0.00,-0.85,0.04,0.48,-2.21,-1.71,0.28,764.00,24320.00,29786.00
182.00,0.000000,0.000000,75195.32,35.76,0.00,42.41,42.41,0.00,-0.86,0.05,0.49,1.62,-5.63,2.92,764.00,24320.00,29786.00
184.00,0.000000,0.000000,75193.95,35.78,0.00,42.56,42.56,0.00,-0.84,0.38,0.22,18.50,4.78,-0.18,764.00,24320.00,29786.00
186.00,0.000000,0.000000,75193.58,35.79,0.00,42.60,42.60,0.00,-0.14,0.91,0.22,4.07,-9.99,2.91,764.00,24320.00,29786.00
188.02,0.000000,0.000000,75193.28,35.81,0.00,42.63,42.63,0.00,-0.72,0.79,0.85,18.15,-42.56,-41.96,764.00,24320.00,29786.00
190.03,0.000000,0.000000,75192.49,35.82,0.00,42.71,42.71,0.00,-0.03,-0.52,0.87,-19.62,30.18,38.51,764.00,24320.00,29786.00
192.03,0.000000,0.000000,75192.18,35.83,0.00,42.75,42.75,0.00,-0.20,-0.27,0.90,12.47,12.15,-10.48,764.00,24320.00,29786.00
194.00,0.000000,0.000000,75191.30,35.84,0.00,42.84,42.84,0.00,0.43,-0.73,0.45,4.84,-28.50,-67.60,764.00,24320.00,29786.00
196.00,0.000000,0.000000,75191.30,35.85,0.00,42.84,42.84,0.00,0.42,-0.82,0.33,-10.22,-9.90,14.11,764.00,24320.00,29786.00
198.01,0.000000,0.000000,75189.86,35.86,0.00,42.99,42.99,0.00,0.96,-0.06,0.45,16.01,-53.86,-4.85,764.00,24320.00,29786.00
200.00,0.000000,0.000000,75189.37,35.86,0.00,43.04,43.04,0.00,0.63,0.17,0.63,0.85,-11.05,1.73,764.00,24320.00,29786.00
202.00,0.000000,0.000000,75188.77,35.86,0.00,43.11,43.11,0.00,0.21,-0.47,0.73,-15.89,35.36,91.19,764.00,24320.00,29786.00
204.00,0.000000,0.000000,75189.04,35.87,0.00,43.08,43.08,0.00,0.34,-0.16,0.62,26.13,4.01,-166.82,764.00,24320.00,29786.00
206.00,0.000000,0.000000,75186.45,35.87,0.00,43.35,43.35,0.00,0.42,0.04,0.62,-2.49,58.81,-1.01,764.00,24320.00,29786.00
208.00,0.000000,0.000000,75185.72,35.87,0.00,43.43,43.43,0.00,0.17,-0.34,0.84,36.45,27.10,19.08,764.00,24320.00,29786.00
210.00,0.000000,0.000000,75185.64,35.87,0.00,43.44,43.44,0.00,0.19,-0.72,0.81,-11.66,5.01,14.40,764.00,24320.00,29786.00
212.00,0.000000,0.000000,75184.81,35.88,0.00,43.53,43.53,0.00,0.27,-0.40,0.82,-0.40,-1.66,5.74,764.00,24320.00,29786.00
214.01,0.000000,0.000000,75184.20,35.88,0.00,43.59,43.59,0.00,0.28,-0.38,0.81,-1.88,-0.31,3.38,764.00,24320.00,29786.00
216.00,0.000000,0.000000,75185.23,35.88,0.00,43.48,43.48,0.00,0.31,-0.45,0.87,15.01,-6.80,-22.22,764.00,24320.00,29786.00
218.00,0.000000,0.000000,75185.77,35.89,0.00,43.43,43.43,0.00,0.26,-0.94,1.29,-32.73,-21.20,4.97,764.00,24320.00,29786.00
220.02,0.000000,0.000000,75185.96,35.89,0.00,43.41,43.41,0.00,0.09,0.36,0.53,-144.36,-59.81,-97.04,764.00,24320.00,29786.00
224.00,0.000000,0.000000,75186.84,35.89,0.00,43.31,43.31,0.00,0.44,-0.51,0.71,-6.01,-6.04,-2.78,764.00,24320.00,29786.00
